Pos,Player,Rk,Season,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
G,Terrence Ross,528,2019_20,4.9,12.3,2.6,7.3,2.4,5.0,2.3,2.7,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.6
G,Terry Rozier,529,2019_20,6.3,14.9,2.7,6.7,3.6,8.2,2.6,3.0,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0
G,Ricky Rubio,530,2019_20,4.4,10.6,1.2,3.3,3.2,7.3,3.0,3.5,0.7,4.0,4.7,8.8,1.4,0.2,2.7,2.6
G,D'Angelo Russell,531,2019_20,8.0,18.8,3.5,9.6,4.5,9.2,3.6,4.4,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9
G,D'Angelo Russell,532,2019_20,8.3,19.2,3.6,9.7,4.6,9.5,3.4,4.4,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9
G,D'Angelo Russell,533,2019_20,7.3,17.6,3.2,9.2,4.1,8.4,4.0,4.6,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8
F,Domantas Sabonis,534,2019_20,7.4,13.7,0.3,1.1,7.1,12.6,3.5,4.8,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1
F,Luka Šamanić,535,2019_20,1.7,5.3,1.0,2.7,0.7,2.7,1.0,1.3,0.3,3.0,3.3,2.0,0.0,0.7,0.7,2.0
F,JaKarr Sampson,536,2019_20,2.0,3.4,0.1,0.4,1.9,3.0,0.5,0.8,0.6,2.0,2.6,0.6,0.5,0.4,0.4,1.9
F,Dario Šarić,537,2019_20,3.9,8.2,1.3,3.6,2.6,4.6,1.6,1.9,1.5,4.6,6.2,1.9,0.6,0.2,1.3,2.4
G,Tomáš Satoranský,538,2019_20,3.6,8.5,1.0,3.1,2.7,5.4,1.6,1.9,1.2,2.7,3.9,5.4,1.2,0.1,2.0,2.1
F,Admiral Schofield,539,2019_20,1.1,2.8,0.6,1.8,0.5,0.9,0.3,0.5,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5
G,Dennis Schröder,540,2019_20,7.0,14.8,1.9,5.0,5.0,9.8,3.0,3.6,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2
F,Mike Scott,541,2019_20,2.2,5.1,1.2,3.2,1.0,2.0,0.4,0.5,1.0,2.7,3.6,0.8,0.3,0.1,0.4,1.4
F,Thabo Sefolosha,542,2019_20,0.9,2.2,0.4,1.3,0.5,0.9,0.1,0.2,0.5,1.8,2.3,0.6,0.6,0.3,0.4,1.0
G,Collin Sexton,543,2019_20,7.9,16.7,1.5,3.9,6.4,12.8,3.5,4.1,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2
G,Landry Shamet,544,2019_20,3.0,7.4,2.1,5.6,0.9,1.8,1.2,1.4,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7
G,Marial Shayok,545,2019_20,0.8,3.0,0.5,1.5,0.3,1.5,0.8,1.0,0.3,1.5,1.8,0.3,0.0,0.3,0.8,1.0
F,Iman Shumpert,546,2019_20,1.6,4.9,0.6,2.5,1.0,2.4,0.3,0.5,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6
F,Pascal Siakam,547,2019_20,8.3,18.4,2.2,6.1,6.2,12.3,4.0,5.1,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8
F,Chris Silva,548,2019_20,1.1,1.8,0.0,0.1,1.1,1.7,0.8,1.3,1.4,1.5,2.9,0.5,0.2,0.5,0.7,1.9
G,Ben Simmons,549,2019_20,6.6,11.4,0.0,0.1,6.5,11.2,3.2,5.2,2.0,5.8,7.8,8.0,2.1,0.6,3.5,3.3
G,Anfernee Simons,550,2019_20,3.1,7.7,1.1,3.2,2.0,4.4,1.1,1.3,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9
C,Alen Smailagić,551,2019_20,1.4,2.9,0.2,0.9,1.2,1.9,1.1,1.4,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0
G,Marcus Smart,552,2019_20,4.3,11.4,2.3,6.6,2.0,4.8,2.1,2.5,0.7,3.1,3.8,4.9,1.7,0.5,1.7,2.7
G,Dennis Smith Jr.,553,2019_20,2.1,6.2,0.5,1.6,1.6,4.6,0.8,1.6,0.6,1.7,2.3,2.9,0.8,0.2,1.7,1.9
G,Ish Smith,554,2019_20,4.5,10.1,0.9,2.5,3.6,7.6,0.9,1.3,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6
G,J.R. Smith,555,2019_20,1.2,3.7,0.2,1.8,1.0,1.8,0.3,0.3,0.0,0.8,0.8,0.5,0.2,0.0,0.7,0.8
F,Tony Snell,557,2019_20,2.9,6.5,1.7,4.3,1.2,2.2,0.5,0.5,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7
C,Omari Spellman,558,2019_20,2.6,6.0,0.9,2.2,1.7,3.8,1.5,1.9,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3
G,Edmond Sumner,560,2019_20,2.0,4.6,0.5,1.7,1.5,2.9,0.5,0.9,0.4,1.1,1.5,1.8,0.5,0.3,0.7,1.4
C,Caleb Swanigan,561,2019_20,1.0,1.7,0.0,0.1,1.0,1.7,0.3,0.6,1.0,2.7,3.7,1.1,0.1,0.3,1.4,2.3
F,Caleb Swanigan,563,2019_20,1.3,2.2,0.0,0.1,1.3,2.1,0.4,0.8,1.3,3.4,4.7,1.5,0.1,0.3,1.6,2.7
F,Jayson Tatum,564,2019_20,8.4,18.6,2.9,7.1,5.5,11.5,3.8,4.7,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1
G,Jeff Teague,565,2019_20,3.6,8.3,0.7,2.0,2.9,6.3,2.9,3.3,0.5,1.9,2.4,5.2,0.7,0.3,2.0,1.8
G,Jeff Teague,566,2019_20,4.3,9.5,1.0,2.6,3.3,7.0,3.7,4.2,0.4,2.1,2.6,6.1,0.7,0.4,2.2,2.1
G,Jeff Teague,567,2019_20,2.7,6.6,0.4,1.2,2.3,5.4,1.9,2.1,0.5,1.7,2.2,4.0,0.8,0.2,1.6,1.4
G,Garrett Temple,568,2019_20,3.6,9.5,2.0,6.2,1.5,3.2,1.1,1.4,0.5,3.0,3.5,2.5,0.8,0.5,1.0,1.7
C,Daniel Theis,569,2019_20,3.7,6.6,0.5,1.5,3.2,5.1,1.3,1.8,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4
G,Isaiah Thomas,570,2019_20,4.4,10.7,2.0,4.7,2.4,5.9,1.6,1.9,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9
G,Khyri Thomas,571,2019_20,0.6,2.1,0.6,1.8,0.0,0.4,0.3,0.5,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1
F,Lance Thomas,572,2019_20,1.1,3.3,0.6,1.9,0.6,1.4,0.6,0.6,0.3,1.6,1.9,0.9,0.0,0.0,0.9,1.6
G,Matt Thomas,573,2019_20,1.8,3.7,1.1,2.4,0.6,1.2,0.2,0.3,0.2,1.3,1.5,0.5,0.2,0.0,0.4,0.9
F,Tristan Thompson,574,2019_20,5.1,9.9,0.2,0.4,4.9,9.5,1.7,2.8,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2
F,Sindarius Thornwell,575,2019_20,3.0,5.5,1.0,2.0,2.0,3.5,1.0,2.0,0.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0
G,Matisse Thybulle,576,2019_20,1.7,4.1,0.9,2.4,0.9,1.7,0.4,0.6,0.7,1.0,1.6,1.2,1.4,0.7,0.8,2.2
F,Anthony Tolliver,577,2019_20,1.2,3.3,0.9,2.6,0.3,0.7,0.4,0.5,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3
F,Anthony Tolliver,578,2019_20,1.3,3.5,0.9,2.7,0.4,0.8,0.4,0.6,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6
F,Anthony Tolliver,579,2019_20,0.3,1.9,0.2,1.7,0.1,0.2,0.1,0.2,0.2,1.0,1.2,0.3,0.4,0.1,0.4,0.7
F,Anthony Tolliver,580,2019_20,1.5,3.7,1.3,3.2,0.2,0.5,0.5,0.6,0.4,2.2,2.5,0.8,0.5,0.1,0.7,1.1
G,Juan Toscano-Anderson,581,2019_20,2.2,4.8,0.6,1.8,1.6,3.1,0.2,0.4,0.7,3.3,4.0,2.0,1.0,0.4,1.2,2.3
C,Karl-Anthony Towns,582,2019_20,9.0,17.8,3.3,7.9,5.8,9.9,5.1,6.5,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3
F,Gary Trent Jr.,583,2019_20,3.2,7.2,1.8,4.4,1.4,2.8,0.6,0.7,0.4,1.2,1.6,1.0,0.8,0.3,0.3,1.5
G,Allonzo Trier,584,2019_20,2.1,4.4,0.8,2.2,1.3,2.2,1.4,1.8,0.3,1.0,1.2,1.2,0.1,0.2,0.9,1.2
F,P.J. Tucker,585,2019_20,2.5,5.9,1.5,4.2,1.0,1.8,0.5,0.7,1.6,5.1,6.6,1.6,1.1,0.5,1.0,3.2
G,Rayjon Tucker,586,2019_20,1.0,2.2,0.2,0.9,0.9,1.3,1.0,1.2,0.2,0.9,1.0,0.3,0.1,0.1,0.4,0.5
G,Evan Turner,587,2019_20,1.3,3.5,0.0,0.3,1.3,3.3,0.6,0.7,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1
C,Myles Turner,588,2019_20,4.3,9.5,1.4,4.0,2.9,5.4,2.0,2.7,1.4,5.2,6.6,1.2,0.7,2.1,1.4,2.7
F,Jarrod Uthoff,589,2019_20,1.0,2.6,0.4,1.3,0.6,1.3,0.3,0.3,0.3,0.6,0.9,0.0,0.1,0.0,0.0,0.3
F,Jarrod Uthoff,591,2019_20,2.0,3.7,1.0,1.7,1.0,2.0,0.0,0.0,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3
